word,percentage_known,Prevalence,concreteness,AoA,valence,arousal,dominance
analyze,0.99,2.18,2.30,6.00,5.65,4.10,5.96
anarchist,0.98,1.89,2.83,12.00,2.76,4.16,4.57
anarchy,0.99,2.24,2.12,14.00,3.68,4.86,3.10
anatomy,0.99,2.25,3.59,6.00,6.29,4.43,5.95
ancestor,0.99,2.18,3.24,2.00,6.37,3.73,4.81
ancestral,1.00,2.35,1.96,8.00,6.60,3.60,5.05
ancestry,0.99,2.24,2.83,8.00,6.29,3.71,4.16
anchor,0.99,2.19,4.77,4.00,5.16,3.32,5.29
anchorage,0.97,1.77,3.48,8.00,5.09,3.82,5.80
ancient,0.99,2.09,2.04,4.00,7.24,3.48,4.86
anecdote,0.98,1.94,2.64,12.00,5.62,4.65,6.00
anemia,0.96,1.66,3.25,8.00,3.05,4.09,3.55
anemic,0.94,1.54,2.74,8.00,3.45,3.45,3.14
anesthetic,0.97,1.88,3.93,10.00,5.48,3.23,4.72
aneurysm,0.93,1.41,3.79,14.00,2.50,5.38,2.70
angel,0.99,2.23,3.82,2.00,7.71,4.24,5.90
angelic,0.99,2.14,2.22,10.00,6.68,4.27,6.32
anger,0.99,2.31,2.41,2.00,2.50,5.93,5.14
angle,0.99,2.31,3.50,6.00,4.55,3.22,5.27
angry,1.00,2.43,2.53,2.00,2.53,6.20,4.11
anguish,0.99,2.11,2.38,13.00,3.14,5.41,4.27
animal,1.00,2.44,4.61,2.00,7.06,4.30,5.72
animation,1.00,2.58,3.41,14.00,6.42,5.52,5.16
animosity,0.98,2.01,2.11,13.00,3.40,5.83,5.04
ankle,1.00,2.33,4.81,2.00,5.40,3.11,5.58
annex,0.97,1.86,4.00,6.00,4.41,4.00,5.26
annihilate,0.96,1.70,2.75,10.00,3.15,6.44,4.62
annihilation,0.97,1.81,2.69,10.00,2.58,5.52,3.20
anniversary,0.99,2.24,3.15,4.00,6.95,4.00,6.86
announce,1.00,2.44,3.31,4.00,5.52,3.65,5.48
announcement,1.00,2.44,2.79,2.00,5.81,4.30,5.05
announcer,0.98,2.03,4.52,2.00,5.84,4.50,4.07
annoy,0.99,2.24,1.93,6.00,2.49,5.04,4.64
annoyance,0.99,2.16,2.14,8.00,2.95,4.10,3.45
annual,1.00,2.45,1.78,4.00,5.19,3.70,4.90
annul,0.85,1.02,2.28,13.00,3.83,4.23,4.90
anomaly,0.97,1.79,1.79,14.00,4.84,4.25,4.26
anonymous,1.00,2.44,2.03,10.00,5.75,4.13,5.48
answer,1.00,2.44,2.89,2.00,6.10,4.00,5.95
ant,0.99,2.10,4.86,2.00,3.90,3.27,5.30
antagonistic,0.97,1.82,2.07,12.00,4.32,4.11,4.41
antagonize,0.99,2.12,2.43,12.00,3.15,4.95,4.00
antelope,1.00,2.44,5.00,4.00,5.68,4.46,5.57
antenna,1.00,2.43,4.75,4.00,5.43,3.15,5.67
anterior,0.91,1.33,3.50,14.00,4.89,3.36,4.64
anthem,1.00,2.58,3.36,6.00,5.95,4.48,6.29
anthrax,0.99,2.08,4.44,14.00,2.32,4.72,2.71
anthropology,0.99,2.13,2.41,6.00,5.30,2.91,6.00
anti,0.92,1.40,2.12,6.00,4.47,4.23,5.05
antibiotic,0.99,2.13,4.43,10.00,5.88,4.05,5.72
anticipate,1.00,2.42,1.54,10.00,6.00,5.70,5.36
anticipation,0.99,2.24,1.93,10.00,5.26,5.39,5.53
antics,0.98,2.01,2.60,8.00,3.95,5.10,5.24
antidote,0.98,1.92,3.42,10.00,6.55,3.24,6.08
antiquated,0.97,1.84,2.22,10.00,5.00,4.95,4.69
antique,1.00,2.44,3.75,6.00,6.50,4.00,5.79
antiseptic,0.99,2.12,3.85,8.00,4.57,3.15,4.77
antisocial,0.98,1.95,1.86,8.00,3.21,5.32,5.33
anus,1.00,2.33,4.86,12.00,2.90,4.39,4.96
anvil,0.97,1.80,4.96,8.00,5.05,4.40,5.38
anxiety,0.99,2.16,2.21,8.00,2.38,4.78,3.39
anxious,0.99,2.16,1.68,4.00,3.80,6.20,4.15
aorta,0.93,1.44,4.61,10.00,4.35,3.64,4.37
apache,0.96,1.75,3.88,12.00,5.20,3.70,4.95
apartment,1.00,2.45,4.90,2.00,5.72,3.80,5.33
apathy,0.97,1.88,2.04,10.00,3.68,3.80,5.15
ape,1.00,2.33,4.79,2.00,5.21,4.25,5.38
apex,0.96,1.72,3.41,12.00,5.52,3.48,5.17
apocalypse,0.98,1.96,2.21,14.00,3.24,5.04,2.65
apologetic,0.99,2.22,1.88,6.00,6.65,4.00,5.00
apologize,0.99,2.32,2.63,4.00,4.94,3.52,4.22
apology,1.00,2.58,2.86,4.00,6.24,4.00,5.10
apostle,0.96,1.69,3.22,8.00,5.50,4.38,4.71
apothecary,0.96,1.69,3.76,12.00,5.48,4.23,5.35
apparatus,0.99,2.25,3.78,10.00,5.50,4.00,5.14
apparel,0.98,2.05,4.60,10.00,5.38,4.30,6.19
apparent,0.99,2.23,1.73,6.00,4.96,3.19,6.40
apparition,0.95,1.59,2.46,13.00,4.85,4.82,4.38
appeal,0.99,2.24,1.73,4.00,6.30,3.57,5.36
appear,0.99,2.25,3.13,2.00,5.25,3.24,5.36
appearance,0.99,2.11,2.57,4.00,6.14,4.57,5.90
appease,0.99,2.06,1.93,12.00,5.95,3.55,5.59
appendage,0.98,2.00,4.26,10.00,4.23,4.35,5.32
appendectomy,0.97,1.79,4.42,10.00,2.95,6.14,3.59
appendicitis,0.98,1.89,3.48,2.00,1.86,5.12,2.71
appendix,0.99,2.26,4.25,4.00,4.81,2.92,4.25
appetite,1.00,2.58,2.74,4.00,6.23,5.37,5.57
appetizer,1.00,2.43,4.71,6.00,7.29,4.52,6.36
appetizing,0.99,2.16,2.10,6.00,7.00,4.82,6.18
applaud,0.99,2.18,3.80,4.00,6.70,5.05,5.91
applause,1.00,2.34,4.29,2.00,7.12,5.38,6.56
apple,1.00,2.58,5.00,2.00,6.62,3.52,6.44
applesauce,0.93,1.43,4.96,2.00,6.90,2.78,6.39
appliance,1.00,2.43,4.57,4.00,5.15,2.84,5.00
applicant,1.00,2.58,4.00,8.00,4.91,3.96,5.08
application,1.00,2.58,3.40,6.00,5.05,4.52,4.30
apply,1.00,2.44,2.50,6.00,5.16,3.24,6.20
appoint,0.98,1.94,2.24,6.00,5.95,4.25,5.65
appointment,0.99,2.32,3.00,4.00,4.43,4.80,6.68
appraisal,0.99,2.25,3.11,12.00,5.09,4.09,5.65
appreciate,1.00,2.58,2.23,6.00,7.33,3.10,7.00
appreciation,0.99,2.33,1.63,8.00,7.30,4.68,6.63
appreciative,0.98,1.98,1.93,6.00,7.14,4.35,6.90
apprehend,0.99,2.07,2.82,8.00,4.14,5.13,4.48
